단어,뜻
ability,n    능력; 재능
development,"n    발달, 성장; 개발"
destruction,n    파괴; 멸망
adjoining,adj    서로 접한; 부근의
mitigate,"v     완화시키다, 경감시키다"
accident,n    사고; 우연
expire,v     만료되다; 숨을 거두다
avoid,v     방지하다; 회피하다
direction,n    방향; 동향
increase,"v     증가하다, 인상되다     n    증가"
cultivate,v     경작하다; 함양하다
exponentially,adv   전형적으로; 기하급수적으로
fringe benefit,phr   부가 혜택; 특별 급여
decoration,n    장식; 실내 장식
note,n    메모; 필기     v     주목하다; 언급하다
relationship,"n    관계, 관련성"
cloakroom,n    휴대품 보관소; 의원 휴게실
canyon,"n    협곡, 깊은 골짜기"
juvenile,adj    청소년의; 유치한
subconscious,adj    잠재의식의     n    잠재의식
accuracy,n    정확; 정밀도
cater,"v     (행사에) 음식을 공급하다, 조달하다"
stamina,"n    체력, 지구력"
unusual,adj    흔치 않은; 색다른
traditional,"adj    전통적인, 전통의"
familiar,"adj    익숙한, 친숙한"
smuggle,v     밀수하다; 밀항하다
preference,n    선호; 우선권
harmless,adj    무해한; 악의 없는
frequency,n    빈도; 빈번
valuable,adj    소중한; 값비싼
innovate,"v     혁신하다, 쇄신하다"
fragmentation,"n    분열, 파쇄"
intuitive,adj    직관에 의한; 직감하는
withdraw,v     물러나다; 철회하다
roughly,"adv   대략, 거의; 거칠게"
confirm,v     확인하다; 확정하다
pursuit,"n    추구; 추적, 뒤쫓음"
technician,n    기술자; 전문가
gain,v     얻다     n    증가
escape,v     달아나다; 벗어나다
reserve,v     예약하다; 보류하다     n    비축; 보호 구역
council,n    의회; 자문 위원회
chemical,adj    화학의; 화학적인
departure,"n    출발, 떠남; 벗어남"
difficult,"adj    어려운, 힘든"
analytical,adj    분석적인; 분석의
deliberately,adv   고의로; 신중하게
describe,"v     말하다, 묘사하다"
prevalent,"adj    일반적인, 널리 퍼진; 우세한"
eligible,adj    적격의; 바람직한
contemporary,adj    동시대의; 현대의
book,v     예약하다     n    책
marine,"adj    해양의, 바다의"
deceptive,"adj    기만적인, 현혹하는"
internal,adj    내부의; 체내의
architecture,n    건축(학); 건축 양식
achievement,"n    업적; 성취, 달성"
competition,n    경쟁; 시합
treatment,n    치료; 대우; 처리
orchestra,"n    오케스트라, 관현악단"
valid,"adj    유효한; 정당한, 타당한"
portray,v     묘사하다; 표현하다
central,adj    중앙의; 중심적인
director,"n    감독, 책임자; 임원"
shorten,v     단축하다; 삭감하다
revolution,n    혁명; 변혁
adopt,v     채택하다; 입양하다
negotiate,v     협상하다; 성사시키다
excess,"n    지나침, 과잉"
comprehend,v     이해하다; 포함하다
replace,v     대체하다; 바꾸다
embark,v     착수하다; 승선하다
advert,n    광고     v     주의를 돌리다; 언급하다
secure,adj    안심하는; 안전한
undergo,v     겪다; 견디다
genius,n    천재; 특별한 재능
intense,"adj    극심한, 강렬한"
cargo,"n    화물, 짐"
customer,"n    손님, 고객"
identical,adj    똑같은; 바로 그
nurture,v     양육하다; 양성하다
province,n    주; 지방
depict,v     그리다; 묘사하다
tackle,v     (문제 등을) 다루다; 논쟁하다
vacant,"adj    비어 있는, 사람이 없는"
specialist,n    전문가; 전문의
downturn,n    감소; 침체
regulation,n    규정; 통제
dismantle,"v     분해하다, 해체하다"
principle,"n    원칙, 원리"
alternative,n    대안    adj    대체 가능한
strategy,n    계획; 전략
manufacture,v     (대규모로) 제조하다     n    제조
pharmacy,n    약국; 약학
contain,v     ~이 들어있다; 억누르다
highlight,v     강조하다     n    가장 좋은 부분
undisputed,adj    반박의 여지가 없는; 모두가 인정하는
power,n    힘; 권력     v     동력을 공급하다
goods,"n    상품, 제품; 소유물"
consultation,n    상담; 협의
vacancy,"n    결원, 공석; 빈방"
responsible,adj    책임이 있는; ~의 원인이 되는
acceptance,n    수락; 동의
legroom,n    다리를 뻗을 수 있는 공간
leave,v     떠나다; 남기다     n    휴가
protection,n    보호; 보호물
type,"n    유형, 종류"
plenty of,"phr   많은, 충분한"
cycle,n    주기; 순환     v     순환하다
method,n    방법; 체계성
maintain,v     유지하다; 주장하다
entire,adj    전체의; 완전한
monopoly,n    독점; 전유물
theatre,n    극장; 연극
necessary,adj    필수적인; 불가피한
suspense,"n    긴장감; 불안, 걱정"
purpose,n    목적; 용도
estimated,"adj    견적의, 추측의"
appreciation,n    이해; 평가; 감사
account,n    계좌; 설명     v     간주하다
enthusiastic,"adj    열렬한, 열광적인"
exam,n    시험; (의학적) 검사
wholly,adv   완전히; 전체적으로
pulse,n    맥박; 고동     v     맥박치다
infinite,"adj    무한한, 끝없는"
labour,"n    노동, 업무     v     애를 쓰다; 일을 하다"
discuss,"v     상의하다, 의논하다"
outset,"n    발단, 시초"
survive,v     생존하다; 견디다
licensed,adj    허가된; 면허증을 소지한
efficient,adj    효율적인; 유능한
witness,n    목격자     v     목격하다
mine,"n    광산     v     캐다, 채굴하다"
salary,"n    급여, 봉급"
handy,"adj    편리한, 유용한"
specification,n    설명서; 상술
in conjunction with,"phr   ~와 함께, ~와 공동으로"
radical,adj    급진적인; 근본적인
definitive,"adj    최종적인, 결정적인; 최고의"
sophistication,"n    교양, 세련; 정교함"
fridge,n    냉장고
sustainable,adj    지속 가능한; 유지 가능한
machine,n    기계; 기구
engage,v     (주의·관심을) 사로잡다; 관여하다
succeed,v     성공하다; 상속하다; 계속되다
prehistoric,adj    선사 시대의; 아주 옛날의
argue,v     언쟁하다; 주장하다
minimum,"adj    최저의, 최소한의"
wage,"n    임금, 급료"
ancestor,"n    조상, 선조"
literal,adj    문자 그대로의; 문자의
